"MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","Id"
"0","3",70,11200,"1","1","3","3","4","0",19,"2","2","0","2","5","5",1965,1965,"3","0","6",6,"2",0,"2","2","1","2","3","1","5",906,"6",0,134,1040,"1","4","1","4",1040,0,0,1040,"1","0","1","0","3","1","1","5","6","0","0","5",1965,"3","1",384,"3","3","2",0,0,0,0,0,"0","0","4","1",0,"2","2008","8","4",11
"5","3",85,11924,"1","1","0","3","4","0",16,"2","2","0","5","9","5",2005,2006,"3","0","14",15,"3",286,"4","2","2","4","3","1","2",998,"6",0,177,1175,"1","4","1","4",1182,1142,0,2324,"1","0","3","0","4","1","3","11","6","2","4","3",2005,"0","3",736,"3","3","2",147,21,0,0,0,"0","0","4","1",0,"7","2006","6","5",12
"0","3",70,12968,"1","1","1","3","4","0",19,"2","2","0","2","5","6",1962,1962,"3","0","6",10,"2",0,"2","2","1","2","3","1","0",737,"6",0,175,912,"1","2","1","4",912,0,0,912,"1","0","1","0","2","1","1","4","6","0","0","5",1962,"3","1",352,"3","3","2",140,0,0,0,176,"0","0","4","1",0,"9","2008","8","4",13
"0","3",91,10652,"1","1","0","3","4","0",5,"2","2","0","2","7","5",2006,2007,"1","0","12",13,"3",306,"3","2","2","3","3","3","6",0,"6",0,1494,1494,"1","4","1","4",1494,0,0,1494,"0","0","2","0","3","1","2","7","6","1","4","1",2006,"2","3",840,"3","3","2",160,33,0,0,0,"0","0","4","1",0,"8","2007","6","5",14
"0","3",70,10920,"1","1","0","3","0","0",12,"2","2","0","2","6","5",1960,1960,"3","0","8",8,"1",212,"2","2","1","2","3","1","1",733,"6",0,520,1253,"1","2","1","4",1253,0,0,1253,"1","0","1","1","2","1","1","5","6","1","2","1",1960,"2","1",352,"3","3","2",0,213,176,0,0,"0","0","1","1",0,"5","2008","8","4",15
"3","4",51,6120,"1","1","3","3","0","0",3,"2","2","0","1","7","8",1929,2001,"1","0","13",14,"2",0,"2","2","0","2","3","1","6",0,"6",0,832,832,"1","4","1","0",854,0,0,854,"0","0","1","0","2","1","1","5","6","0","0","5",1991,"3","2",576,"3","3","2",48,112,0,0,0,"0","0","0","1",0,"7","2007","8","4",16
"0","3",48,11241,"1","1","0","3","1","0",12,"2","2","0","2","6","7",1970,1970,"1","0","13",14,"1",180,"2","2","1","2","3","1","0",578,"6",0,426,1004,"1","4","1","4",1004,0,0,1004,"1","0","1","0","2","1","1","5","6","1","3","1",1970,"0","2",480,"3","3","2",0,0,0,0,0,"0","0","4","3",700,"3","2010","8","4",17
"10","3",72,10791,"1","1","3","3","4","0",19,"2","2","2","2","4","5",1967,1967,"1","0","8",8,"2",0,"2","2","3","0","0","0","4",0,"4",0,0,0,"1","2","1","4",1296,0,0,1296,"0","0","2","0","2","2","1","6","6","0","0","4",1967,"3","2",516,"3","3","2",0,0,0,0,0,"0","0","4","3",500,"10","2006","8","4",18
"0","3",66,13695,"1","1","3","3","4","0",20,"5","2","0","2","5","5",2004,2004,"1","0","12",13,"2",0,"2","2","2","2","3","1","2",646,"6",0,468,1114,"1","4","1","4",1114,0,0,1114,"1","0","1","1","3","1","2","6","6","0","0","5",2004,"3","2",576,"3","3","2",0,102,0,0,0,"0","0","4","1",0,"6","2008","8","4",19
"0","3",70,7560,"1","1","3","3","4","0",12,"2","2","0","2","5","6",1958,1965,"3","0","3",10,"2",0,"2","2","1","2","3","1","3",504,"6",0,525,1029,"1","2","1","4",1339,0,0,1339,"0","0","1","0","3","1","1","6","2","0","0","1",1958,"3","1",294,"3","3","2",0,0,0,0,0,"0","0","2","1",0,"5","2009","0","0",20
"5","3",101,14215,"1","1","0","3","0","0",16,"2","2","0","5","8","5",2005,2006,"1","0","12",13,"1",380,"3","2","2","4","3","3","6",0,"6",0,1158,1158,"1","4","1","4",1158,1218,0,2376,"0","0","3","1","4","1","2","9","6","1","4","3",2005,"2","3",853,"3","3","2",240,154,0,0,0,"0","0","4","1",0,"11","2006","6","5",21
"3","4",57,7449,"1","0","3","0","4","0",9,"2","2","0","1","7","7",1930,1950,"1","0","13",14,"2",0,"2","2","2","2","3","1","6",0,"6",0,637,637,"1","4","1","1",1108,0,0,1108,"0","0","1","0","3","1","2","6","6","1","4","1",1930,"3","1",280,"3","3","0",0,0,205,0,0,"0","0","0","1",0,"6","2007","8","4",22
"0","3",75,9742,"1","1","3","3","4","0",5,"2","2","0","2","8","5",2002,2002,"3","0","12",13,"1",281,"3","2","2","3","3","1","6",0,"6",0,1777,1777,"1","4","1","4",1795,0,0,1795,"0","0","2","0","3","1","2","7","6","1","4","1",2002,"2","2",534,"3","3","2",171,159,0,0,0,"0","0","4","1",0,"9","2008","8","4",23
"11","4",44,4224,"1","1","3","3","4","0",10,"2","2","4","2","5","7",1976,1976,"1","0","5",5,"2",0,"2","2","2","3","3","1","2",840,"6",0,200,1040,"1","2","1","4",1060,0,0,1060,"1","0","1","0","3","1","1","6","6","1","3","1",1976,"3","2",572,"3","3","2",100,110,0,0,0,"0","0","4","1",0,"6","2007","8","4",24
"0","3",60,8246,"1","1","0","3","4","0",19,"2","2","0","2","5","8",1968,2001,"1","0","9",10,"2",0,"2","3","1","2","3","2","5",188,"0",668,204,1060,"1","4","1","4",1060,0,0,1060,"1","0","1","0","3","1","2","6","6","1","3","1",1968,"3","1",270,"3","3","2",406,90,0,0,0,"0","0","2","1",0,"5","2010","8","4",25
"0","3",110,14230,"1","1","3","3","0","0",16,"2","2","0","2","8","5",2007,2007,"1","0","12",13,"3",640,"3","2","2","3","3","1","6",0,"6",0,1566,1566,"1","4","1","4",1600,0,0,1600,"0","0","2","0","3","1","2","7","6","1","4","1",2007,"2","3",890,"3","3","2",0,56,0,0,0,"0","0","4","1",0,"7","2009","8","4",26
"0","3",60,7200,"1","1","3","3","0","0",12,"2","2","0","2","5","7",1951,2000,"1","0","13",14,"2",0,"2","2","1","2","3","2","1",234,"5",486,180,900,"1","2","1","4",900,0,0,900,"0","1","1","0","3","1","2","5","6","0","0","5",2005,"3","2",576,"3","3","2",222,32,0,0,0,"0","0","4","1",0,"5","2010","8","4",27
"0","3",98,11478,"1","1","3","3","4","0",16,"2","2","0","2","8","5",2007,2008,"1","0","12",13,"3",200,"3","2","2","4","3","1","2",1218,"6",0,486,1704,"1","4","1","4",1704,0,0,1704,"1","0","2","0","3","1","2","7","6","1","4","1",2008,"2","3",772,"3","3","2",0,50,0,0,0,"0","0","4","1",0,"5","2010","8","4",28
"0","3",47,16321,"1","1","0","3","1","0",12,"2","2","0","2","5","6",1957,1997,"1","0","8",8,"2",0,"2","2","1","2","3","4","1",1277,"6",0,207,1484,"1","2","1","4",1600,0,0,1600,"1","0","1","0","2","1","1","6","6","2","4","1",1957,"2","1",319,"3","3","2",288,258,0,0,0,"0","0","4","1",0,"12","2006","8","4",29
"1","4",60,6324,"1","1","0","3","4","0",3,"1","7","0","2","4","6",1927,1950,"1","0","8",8,"2",0,"2","2","0","2","3","1","6",0,"6",0,520,520,"1","1","0","4",520,0,0,520,"0","0","1","0","1","1","0","4","6","0","0","5",1920,"3","1",240,"2","3","2",49,0,87,0,0,"0","0","4","1",0,"5","2008","8","4",30
"6","0",50,8500,"1","2","3","3","4","0",9,"1","2","0","5","4","4",1920,1950,"2","0","3",3,"2",0,"2","1","0","2","3","1","6",0,"6",0,649,649,"1","2","0","4",649,668,0,1317,"0","0","1","0","3","1","1","6","6","0","0","5",1920,"3","1",250,"3","2","0",0,54,172,0,0,"0","0","2","1",0,"7","2008","8","4",31
"0","3",94,8544,"1","1","0","3","1","0",19,"2","2","0","2","5","6",1966,2006,"1","0","6",6,"2",0,"2","2","1","2","3","1","6",0,"6",0,1228,1228,"1","3","1","4",1228,0,0,1228,"0","0","1","1","3","1","2","6","6","0","0","1",1966,"3","1",271,"3","3","2",0,65,0,0,0,"0","0","2","1",0,"6","2008","8","4",32
"0","3",85,11049,"1","1","3","3","0","0",5,"2","2","0","2","8","5",2007,2007,"1","0","12",13,"2",0,"3","2","2","4","3","3","6",0,"6",0,1234,1234,"1","4","1","4",1234,0,0,1234,"0","0","2","0","3","1","2","7","6","0","0","1",2007,"2","2",484,"3","3","2",0,30,0,0,0,"0","0","4","1",0,"1","2008","8","4",33
"0","3",70,10552,"1","1","0","3","4","0",12,"2","2","0","2","5","5",1959,1959,"3","0","3",3,"2",0,"2","2","1","2","3","1","5",1018,"6",0,380,1398,"1","3","1","4",1700,0,0,1700,"0","1","1","1","4","1","2","6","6","1","4","1",1959,"2","2",447,"3","3","2",0,38,0,0,0,"0","0","4","1",0,"4","2010","8","4",34
"11","3",60,7313,"1","1","3","3","4","0",16,"2","2","4","2","9","5",2005,2005,"3","0","8",8,"1",246,"4","2","2","4","3","1","2",1153,"6",0,408,1561,"1","4","1","4",1561,0,0,1561,"1","0","2","0","2","1","3","6","6","1","4","1",2005,"0","2",556,"3","3","2",203,47,0,0,0,"0","0","4","1",0,"8","2007","8","4",35
"5","3",108,13418,"1","1","3","3","4","0",16,"2","2","0","5","8","5",2004,2005,"1","0","12",13,"3",132,"3","2","2","4","3","3","6",0,"6",0,1117,1117,"1","4","1","4",1132,1320,0,2452,"0","0","3","1","4","1","2","9","6","1","4","3",2004,"0","3",691,"3","3","2",113,32,0,0,0,"0","0","4","1",0,"9","2006","8","4",36
"0","3",112,10859,"1","1","3","3","0","0",5,"2","2","0","2","5","5",1994,1995,"1","0","12",13,"2",0,"2","2","2","3","3","1","6",0,"6",0,1097,1097,"1","4","1","4",1097,0,0,1097,"0","0","1","1","3","1","1","6","6","0","0","1",1995,"3","2",672,"3","3","2",392,64,0,0,0,"0","0","4","1",0,"6","2009","8","4",37
"0","3",74,8532,"1","1","3","3","4","0",12,"2","2","0","2","5","6",1954,1990,"3","0","13",14,"1",650,"2","2","1","2","3","1","5",1213,"6",0,84,1297,"1","3","1","4",1297,0,0,1297,"0","1","1","0","3","1","1","5","6","1","3","1",1954,"0","2",498,"3","3","2",0,0,0,0,0,"0","0","4","1",0,"10","2009","8","4",38
"0","3",68,7922,"1","1","3","3","4","0",12,"2","2","0","2","5","7",1953,2007,"1","0","12",13,"2",0,"2","3","1","2","3","1","2",731,"6",0,326,1057,"1","2","1","4",1057,0,0,1057,"1","0","1","0","3","1","2","5","6","0","0","5",1953,"3","1",246,"3","3","2",0,52,0,0,0,"0","0","4","1",0,"1","2010","8","0",39
"10","3",65,6040,"1","1","3","3","4","0",7,"2","2","2","2","4","5",1955,1955,"1","0","0",10,"2",0,"2","2","2","0","0","0","4",0,"4",0,0,0,"1","2","0","2",1152,0,0,1152,"0","0","2","0","2","2","0","6","6","0","0","6",0,"1","0",0,"0","0","0",0,0,0,0,0,"0","0","4","1",0,"6","2008","8","1",40
"0","3",84,8658,"1","1","3","3","4","0",12,"2","2","0","2","6","5",1965,1965,"1","0","13",14,"1",101,"2","2","1","2","3","1","5",643,"6",0,445,1088,"1","4","1","4",1324,0,0,1324,"0","0","2","0","3","1","1","6","6","1","3","1",1965,"2","2",440,"3","3","2",0,138,0,0,0,"0","0","1","1",0,"12","2006","8","0",41
"0","3",115,16905,"1","1","3","3","4","0",23,"2","2","0","2","5","6",1959,1959,"1","0","12",13,"2",0,"2","3","1","2","3","4","1",967,"6",0,383,1350,"1","3","1","4",1328,0,0,1328,"0","1","1","1","2","1","1","5","6","2","4","1",1959,"2","1",308,"3","3","1",0,104,0,0,0,"0","0","4","1",0,"7","2007","8","4",42
"9","3",50,9180,"1","1","0","3","1","0",20,"2","2","0","6","5","7",1983,1983,"1","0","6",6,"2",0,"2","2","1","3","3","3","0",747,"3",93,0,840,"1","3","1","4",884,0,0,884,"1","0","1","0","2","1","2","5","6","0","0","1",1983,"2","2",504,"3","4","2",240,0,0,0,0,"0","0","2","1",0,"12","2007","8","4",43
"0","3",60,9200,"1","1","0","3","1","0",5,"2","2","0","2","5","6",1975,1980,"3","0","12",13,"2",0,"2","2","1","3","3","3","3",280,"1",491,167,938,"1","2","1","4",938,0,0,938,"1","0","1","0","3","1","1","5","6","0","0","5",1977,"3","1",308,"3","3","2",145,0,0,0,0,"0","0","2","1",0,"7","2008","8","4",44
"0","3",70,7945,"1","1","3","3","4","0",12,"2","2","0","2","5","6",1959,1959,"1","0","3",14,"2",0,"2","2","1","2","3","1","0",179,"1",506,465,1150,"1","4","1","0",1150,0,0,1150,"1","0","1","0","3","1","1","6","6","0","0","1",1959,"2","1",300,"3","3","2",0,0,0,0,0,"0","0","4","1",0,"5","2006","8","4",45
"11","3",61,7658,"1","1","3","3","4","0",16,"2","2","4","2","9","5",2005,2005,"3","0","8",8,"1",412,"4","2","2","4","3","1","2",456,"6",0,1296,1752,"1","4","1","4",1752,0,0,1752,"1","0","2","0","2","1","3","6","6","1","4","1",2005,"2","2",576,"3","3","2",196,82,0,0,0,"0","0","4","1",0,"2","2010","8","4",46
"4","3",48,12822,"1","1","0","3","1","0",11,"2","2","0","0","7","5",2003,2003,"1","0","12",13,"2",0,"3","2","2","4","3","1","2",1351,"6",0,83,1434,"1","4","1","4",1518,631,0,2149,"1","0","1","1","1","1","2","6","6","1","5","1",2003,"2","2",670,"3","3","2",168,43,0,0,198,"0","0","4","1",0,"8","2009","8","0",47
"0","1",84,11096,"1","1","3","3","4","0",21,"2","2","0","2","8","5",2006,2006,"1","0","12",13,"2",0,"3","2","2","3","3","3","2",24,"6",0,1632,1656,"1","4","1","4",1656,0,0,1656,"0","0","2","0","3","1","2","7","6","0","0","1",2006,"2","3",826,"3","3","2",0,146,0,0,0,"0","0","4","1",0,"7","2007","8","4",48
"15","4",33,4456,"1","1","3","3","4","0",17,"2","2","1","5","4","5",1920,2008,"1","0","8",8,"2",0,"2","2","0","2","3","1","6",0,"6",0,736,736,"1","3","1","4",736,716,0,1452,"0","0","2","0","2","3","1","8","6","0","0","6",0,"1","0",0,"0","0","0",0,0,102,0,0,"0","0","4","1",0,"6","2009","6","5",49
"0","3",66,7742,"1","1","3","3","4","0",19,"2","2","0","2","5","7",1966,1966,"1","0","6",6,"2",0,"2","2","1","2","3","1","1",763,"6",0,192,955,"1","4","1","4",955,0,0,955,"1","0","1","0","3","1","1","6","6","0","0","1",1966,"3","1",386,"3","3","2",0,0,0,0,0,"0","0","2","1",0,"1","2007","8","4",50
"5","3",75,13869,"1","1","1","3","0","0",8,"2","2","0","5","6","6",1997,1997,"1","0","12",13,"2",0,"2","2","2","3","3","3","2",182,"6",0,612,794,"1","3","1","4",794,676,0,1470,"0","1","2","0","3","1","1","6","6","0","0","1",1997,"0","2",388,"3","3","2",0,75,0,0,0,"0","0","4","1",0,"7","2007","8","4",51
"4","4",52,6240,"1","1","3","3","4","0",3,"2","2","0","0","6","6",1934,1950,"1","0","13",14,"2",0,"2","2","2","2","3","1","6",0,"6",0,816,816,"1","2","1","4",816,0,360,1176,"0","0","1","0","3","1","1","6","6","1","4","5",1985,"3","2",528,"3","3","2",112,0,0,0,0,"0","0","2","3",400,"9","2006","8","4",52
"10","4",110,8472,"0","1","1","0","0","1",9,"8","2","2","2","5","5",1963,1963,"1","0","13",14,"2",0,"1","2","1","3","3","4","3",104,"2",712,0,816,"1","2","0","4",816,0,0,816,"1","0","1","0","2","1","1","5","6","0","0","4",1963,"3","2",516,"3","3","2",106,0,0,0,0,"0","0","4","1",0,"5","2010","8","4",53
"0","3",68,50271,"1","1","0","2","4","0",24,"2","2","0","2","9","5",1981,1987,"1","6","14",15,"2",0,"3","2","1","4","3","4","2",1810,"6",0,32,1842,"1","3","1","4",1842,0,0,1842,"2","0","0","1","0","1","2","5","6","1","4","1",1981,"0","3",894,"3","3","2",857,72,0,0,0,"0","0","4","1",0,"11","2006","8","4",54
"8","3",60,7134,"1","1","3","0","4","1",12,"2","2","0","7","5","5",1955,1955,"1","0","8",8,"2",0,"2","2","1","2","3","1","0",384,"6",0,0,384,"1","2","1","4",1360,0,0,1360,"0","0","1","0","3","1","1","6","2","1","3","5",1962,"3","2",572,"3","3","2",0,50,0,0,0,"0","0","2","1",0,"2","2007","8","4",55
"0","3",100,10175,"1","1","0","3","4","0",12,"2","2","0","2","6","5",1964,1964,"1","0","6",10,"1",272,"2","2","1","2","3","1","1",490,"6",0,935,1425,"1","3","1","4",1425,0,0,1425,"0","0","2","0","3","1","1","7","6","1","4","1",1964,"2","2",576,"3","3","2",0,0,0,407,0,"0","0","4","1",0,"7","2008","8","4",56
"13","1",24,2645,"1","2","3","3","4","0",21,"2","2","3","5","8","5",1999,2000,"1","0","8",8,"1",456,"3","2","2","3","3","1","2",649,"6",0,321,970,"1","4","1","4",983,756,0,1739,"1","0","2","1","3","1","2","7","6","0","0","1",1999,"0","2",480,"3","3","2",115,0,0,0,0,"0","0","4","1",0,"8","2009","8","0",57
"5","3",89,11645,"1","1","0","3","0","0",5,"2","2","0","5","7","5",2004,2004,"1","0","12",13,"2",0,"3","2","2","3","3","1","6",0,"6",0,860,860,"1","4","1","4",860,860,0,1720,"0","0","2","1","3","1","2","7","6","0","0","1",2004,"2","2",565,"3","3","2",0,70,0,0,0,"0","0","4","1",0,"8","2006","8","4",58
"5","3",66,13682,"1","1","1","1","1","0",22,"2","2","0","5","10","5",2006,2006,"3","0","12",13,"1",1031,"4","2","2","4","3","4","6",0,"6",0,1410,1410,"1","4","1","4",1426,1519,0,2945,"0","0","3","1","3","1","2","10","6","1","4","3",2006,"0","3",641,"3","3","2",192,0,37,0,0,"0","0","4","1",0,"10","2006","6","5",59
"0","3",60,7200,"1","1","3","0","4","0",5,"2","2","0","2","5","7",1972,1972,"1","0","6",6,"2",0,"2","2","1","2","3","3","0",632,"6",0,148,780,"1","4","1","4",780,0,0,780,"0","0","1","0","2","1","1","4","6","0","0","5",1973,"3","1",352,"3","3","2",196,0,0,0,0,"0","0","2","1",0,"1","2008","8","4",60
"0","3",63,13072,"1","1","3","3","4","0",20,"5","2","0","2","6","5",2004,2004,"1","0","12",13,"2",0,"2","2","2","3","3","1","0",941,"6",0,217,1158,"1","4","1","4",1158,0,0,1158,"1","0","1","1","3","1","2","5","6","0","0","5",2006,"3","2",576,"3","3","2",0,50,0,0,0,"0","0","4","1",0,"5","2006","6","5",61
"7","4",60,7200,"1","1","3","3","4","0",9,"2","2","0","4","5","7",1920,1996,"1","0","8",8,"2",0,"2","2","0","2","2","1","6",0,"6",0,530,530,"1","2","0","4",581,530,0,1111,"0","0","1","0","3","1","0","6","6","0","0","5",1935,"3","1",288,"3","3","0",0,0,144,0,0,"0","0","4","1",0,"3","2007","8","4",62
"11","3",44,6442,"1","1","0","3","4","0",16,"2","2","4","2","8","5",2006,2006,"1","0","12",13,"3",178,"3","2","2","3","4","2","2",24,"6",0,1346,1370,"1","4","1","4",1370,0,0,1370,"0","0","2","0","2","1","2","6","6","1","4","1",2006,"2","2",484,"3","3","2",120,49,0,0,0,"0","0","4","1",0,"10","2007","8","4",63
"6","4",50,10300,"1","1","0","0","4","0",17,"6","1","0","5","7","6",1921,1950,"1","0","11",12,"2",0,"2","2","0","2","3","1","6",0,"6",0,576,576,"1","3","1","4",902,808,0,1710,"0","0","2","0","3","1","1","9","6","0","0","5",1990,"3","2",480,"3","3","2",12,11,64,0,0,"0","0","0","1",0,"4","2010","8","4",64
"5","3",68,9375,"1","1","3","3","4","0",5,"2","2","0","5","7","5",1997,1998,"1","0","12",13,"1",573,"2","2","2","3","3","1","2",739,"6",0,318,1057,"1","4","1","4",1057,977,0,2034,"1","0","2","1","3","1","2","8","6","0","0","1",1998,"2","2",645,"3","3","2",576,36,0,0,0,"0","0","0","1",0,"2","2009","8","4",65
"5","3",76,9591,"1","1","3","3","4","0",16,"2","2","0","5","8","5",2004,2005,"1","0","12",13,"1",344,"3","2","2","4","3","3","6",0,"6",0,1143,1143,"1","4","1","4",1143,1330,0,2473,"0","0","2","1","4","1","2","9","6","1","4","3",2004,"2","3",852,"3","3","2",192,151,0,0,0,"0","0","4","1",0,"10","2007","8","4",66
"0","3",85,19900,"1","1","3","3","4","0",12,"3","2","0","2","7","5",1970,1989,"1","0","9",10,"1",287,"2","2","1","3","3","4","2",912,"6",0,1035,1947,"1","2","1","4",2207,0,0,2207,"1","0","2","0","3","1","1","7","2","1","4","1",1970,"2","2",576,"3","3","2",301,0,0,0,0,"0","0","4","1",0,"7","2010","8","4",67
"0","3",72,10665,"1","1","0","3","4","0",5,"2","2","0","2","7","5",2003,2003,"1","0","12",13,"1",167,"3","2","2","3","3","3","2",1013,"6",0,440,1453,"1","4","1","4",1479,0,0,1479,"1","0","2","0","3","1","2","7","6","0","0","1",2003,"2","2",558,"3","3","2",144,29,0,0,0,"0","0","4","1",0,"6","2007","8","4",68
"1","4",47,4608,"1","1","3","3","0","0",17,"0","2","0","2","4","6",1945,1950,"1","0","8",8,"2",0,"2","3","1","2","3","1","6",0,"6",0,747,747,"1","2","1","4",747,0,0,747,"0","0","1","0","2","1","1","4","6","0","0","1",1945,"3","1",220,"3","3","2",0,0,0,0,0,"0","0","4","1",0,"6","2010","8","4",69
"4","3",81,15593,"1","1","3","3","0","0",4,"2","2","0","0","7","4",1953,1953,"1","0","3",0,"2",0,"3","2","1","2","3","1","1",603,"6",0,701,1304,"2","2","1","4",1304,983,0,2287,"0","0","2","0","3","1","1","7","6","1","3","1",1953,"0","2",667,"3","3","2",0,21,114,0,0,"0","0","4","1",0,"7","2006","8","4",70
"0","3",95,13651,"1","1","0","3","4","0",12,"2","2","0","2","7","6",1973,1973,"1","0","9",10,"1",1115,"2","3","1","3","3","4","0",1880,"6",0,343,2223,"1","4","1","4",2223,0,0,2223,"1","0","2","0","3","1","1","8","6","2","4","1",1973,"0","2",516,"3","3","2",300,0,0,0,0,"0","0","4","1",0,"2","2007","8","4",71
"0","3",69,7599,"1","1","3","3","0","0",11,"2","2","0","2","4","6",1982,2006,"1","0","6",10,"2",0,"2","2","1","2","3","1","0",565,"6",0,280,845,"1","2","1","4",845,0,0,845,"1","0","1","0","2","1","1","4","6","0","0","5",1987,"3","2",360,"3","3","2",0,0,0,0,0,"0","0","4","1",0,"6","2007","8","4",72
